Timestamp	Longitude	Latitude	Operatorname	NetworkTech	Level	Speed	Altitude	Filemark
2023.11.24_23.01.16	-46.46931	-23.59919	VIVO	4G	-87	0	781	
2023.11.24_23.01.21	-46.46882	-23.59975	VIVO	4G	-88	0	781	
2023.11.24_23.01.22	-46.46892	-23.59966	VIVO	4G	-88	0	781	
2023.11.24_23.01.23	-46.46902	-23.59965	VIVO	4G	-88	0	781	
2023.11.24_23.01.25	-46.46920	-23.59963	VIVO	4G	-93	0	781	
2023.11.24_23.01.26	-46.46929	-23.59951	VIVO	4G	-93	0	781	
2023.11.24_23.01.28	-46.46943	-23.59948	VIVO	4G	-91	0	781	
2023.11.24_23.01.32	-46.46954	-23.59955	VIVO	4G	-87	13	781	
2023.11.24_23.01.34	-46.46961	-23.59961	VIVO	4G	-84	15	781	
2023.11.24_23.01.37	-46.46970	-23.59971	VIVO	4G	-85	16	781	
2023.11.24_23.01.39	-46.46976	-23.59980	VIVO	4G	-86	18	781	
2023.11.24_23.01.41	-46.46982	-23.59988	VIVO	4G	-86	16	781	
2023.11.24_23.01.43	-46.46988	-23.59997	VIVO	4G	-89	17	781	
2023.11.24_23.01.45	-46.46995	-23.60007	VIVO	4G	-88	19	782	
2023.11.24_23.01.47	-46.47005	-23.60020	VIVO	4G	-86	33	782	
2023.11.24_23.01.49	-46.47014	-23.60037	VIVO	4G	-88	42	782	
2023.11.24_23.01.50	-46.47020	-23.60046	VIVO	4G	-89	42	782	
2023.11.24_23.01.51	-46.47025	-23.60055	VIVO	4G	-89	45	781	
2023.11.24_23.01.52	-46.47028	-23.60068	VIVO	4G	-93	52	782	
2023.11.24_23.01.53	-46.47031	-23.60086	VIVO	4G	-93	56	783	
2023.11.24_23.01.54	-46.47034	-23.60104	VIVO	4G	-96	61	785	
2023.11.24_23.01.55	-46.47037	-23.60121	VIVO	4G	-102	64	786	
2023.11.24_23.01.56	-46.47037	-23.60121	VIVO	4G	-92	64	786	
2023.11.24_23.01.56	-46.47042	-23.60137	VIVO	4G	-92	68	789	
2023.11.24_23.01.57	-46.47045	-23.60153	VIVO	4G	-92	71	792	
2023.11.24_23.01.58	-46.47048	-23.60169	VIVO	4G	-91	74	794	
2023.11.24_23.01.59	-46.47050	-23.60187	VIVO	4G	-91	75	795	
2023.11.24_23.02.00	-46.47053	-23.60206	VIVO	4G	-92	76	795	
2023.11.24_23.02.01	-46.47055	-23.60226	VIVO	4G	-92	78	795	
2023.11.24_23.02.02	-46.47056	-23.60248	VIVO	4G	-92	80	796	
2023.11.24_23.02.03	-46.47059	-23.60268	VIVO	4G	-89	80	797	
2023.11.24_23.02.04	-46.47063	-23.60288	VIVO	4G	-89	80	798	
2023.11.24_23.02.05	-46.47066	-23.60308	VIVO	4G	-89	79	801	
2023.11.24_23.02.06	-46.47070	-23.60329	VIVO	4G	-89	80	801	
2023.11.24_23.02.07	-46.47074	-23.60350	VIVO	4G	-90	81	803	
2023.11.24_23.02.08	-46.47078	-23.60371	VIVO	4G	-90	81	803	
2023.11.24_23.02.09	-46.47082	-23.60390	VIVO	4G	-91	80	805	
2023.11.24_23.02.10	-46.47086	-23.60410	VIVO	4G	-91	81	806	
2023.11.24_23.02.11	-46.47090	-23.60430	VIVO	4G	-90	78	807	
2023.11.24_23.02.12	-46.47095	-23.60450	VIVO	4G	-90	75	810	
2023.11.24_23.02.13	-46.47098	-23.60473	VIVO	4G	-92	72	812	
2023.11.24_23.02.14	-46.47099	-23.60490	VIVO	4G	-92	74	813	
2023.11.24_23.02.15	-46.47101	-23.60507	VIVO	4G	-92	74	815	
2023.11.24_23.02.16	-46.47105	-23.60525	VIVO	4G	-92	73	816	
2023.11.24_23.02.17	-46.47108	-23.60543	VIVO	4G	-93	72	816	
2023.11.24_23.02.18	-46.47109	-23.60560	VIVO	4G	-93	69	816	
2023.11.24_23.02.19	-46.47116	-23.60576	VIVO	4G	-96	70	817	
2023.11.24_23.02.20	-46.47124	-23.60592	VIVO	4G	-96	73	817	
2023.11.24_23.02.21	-46.47124	-23.60592	VIVO	4G	-90	73	817	
2023.11.24_23.02.21	-46.47133	-23.60607	VIVO	4G	-90	72	820	
2023.11.24_23.02.22	-46.47142	-23.60622	VIVO	4G	-90	73	822	
2023.11.24_23.02.23	-46.47154	-23.60636	VIVO	4G	-340	72	825	
2023.11.24_23.02.24	-46.47154	-23.60636	VIVO	4G	-86	72	825	
2023.11.24_23.02.24	-46.47165	-23.60650	VIVO	4G	-86	74	827	
2023.11.24_23.02.25	-46.47177	-23.60665	VIVO	4G	-85	73	828	
2023.11.24_23.02.26	-46.47190	-23.60681	VIVO	4G	-85	73	829	
2023.11.24_23.02.28	-46.47202	-23.60695	VIVO	4G	-88	69	830	
2023.11.24_23.02.28	-46.47213	-23.60709	VIVO	4G	-88	68	830	
2023.11.24_23.02.29	-46.47222	-23.60724	VIVO	4G	-85	65	833	
2023.11.24_23.02.30	-46.47230	-23.60738	VIVO	4G	-85	65	833	
2023.11.24_23.02.31	-46.47237	-23.60754	VIVO	4G	-90	66	834	
2023.11.24_23.02.32	-46.47242	-23.60770	VIVO	4G	-90	64	833	
2023.11.24_23.02.33	-46.47242	-23.60770	VIVO	4G	-86	64	833	
2023.11.24_23.02.33	-46.47247	-23.60787	VIVO	4G	-86	66	834	
2023.11.24_23.02.34	-46.47250	-23.60803	VIVO	4G	-86	69	834	
2023.11.24_23.02.36	-46.47254	-23.60820	VIVO	4G	-82	69	834	
2023.11.24_23.02.36	-46.47257	-23.60838	VIVO	4G	-82	68	834	
2023.11.24_23.02.37	-46.47262	-23.60854	VIVO	4G	-82	69	834	
2023.11.24_23.02.38	-46.47269	-23.60870	VIVO	4G	-83	70	835	
2023.11.24_23.02.39	-46.47277	-23.60887	VIVO	4G	-83	71	835	
2023.11.24_23.02.40	-46.47286	-23.60902	VIVO	4G	-85	71	835	
2023.11.24_23.02.41	-46.47298	-23.60917	VIVO	4G	-85	71	836	
2023.11.24_23.02.42	-46.47310	-23.60931	VIVO	4G	-92	71	837	
2023.11.24_23.02.43	-46.47323	-23.60944	VIVO	4G	-92	72	838	
2023.11.24_23.02.44	-46.47323	-23.60944	VIVO	4G	-99	72	838	
2023.11.24_23.02.44	-46.47337	-23.60956	VIVO	4G	-99	70	839	
2023.11.24_23.02.45	-46.47353	-23.60966	VIVO	4G	-99	70	839	
2023.11.24_23.02.46	-46.47369	-23.60976	VIVO	4G	-102	69	840	
2023.11.24_23.02.47	-46.47386	-23.60985	VIVO	4G	-102	70	840	
2023.11.24_23.02.48	-46.47402	-23.60994	VIVO	4G	-104	68	840	
2023.11.24_23.02.49	-46.47418	-23.61005	VIVO	4G	-104	69	842	
2023.11.24_23.02.50	-46.47434	-23.61015	VIVO	4G	-101	66	843	
2023.11.24_23.02.51	-46.47450	-23.61026	VIVO	4G	-101	67	843	
2023.11.24_23.02.52	-46.47463	-23.61036	VIVO	4G	-91	66	844	
2023.11.24_23.02.53	-46.47476	-23.61047	VIVO	4G	-91	62	845	
2023.11.24_23.02.54	-46.47485	-23.61059	VIVO	4G	-97	58	846	
2023.11.24_23.02.55	-46.47492	-23.61070	VIVO	4G	-97	56	846	
2023.11.24_23.02.56	-46.47492	-23.61070	VIVO	4G	-96	56	846	
2023.11.24_23.02.56	-46.47501	-23.61081	VIVO	4G	-96	56	846	
2023.11.24_23.02.57	-46.47509	-23.61093	VIVO	4G	-97	51	845	
2023.11.24_23.02.58	-46.47509	-23.61093	VIVO	4G	-89	51	845	
2023.11.24_23.02.58	-46.47516	-23.61104	VIVO	4G	-89	51	845	
2023.11.24_23.02.59	-46.47523	-23.61115	VIVO	4G	-89	46	845	
2023.11.24_23.03.00	-46.47523	-23.61115	VIVO	4G	-74	46	845	
2023.11.24_23.03.00	-46.47530	-23.61125	VIVO	4G	-74	45	844	
2023.11.24_23.03.01	-46.47537	-23.61134	VIVO	4G	-74	46	843	
2023.11.24_23.03.02	-46.47545	-23.61144	VIVO	4G	-340	44	842	
2023.11.24_23.03.03	-46.47553	-23.61152	VIVO	4G	-340	45	842	
2023.11.24_23.03.04	-46.47561	-23.61160	VIVO	4G	-340	47	842	
2023.11.24_23.03.05	-46.47571	-23.61166	VIVO	4G	-80	43	841	
2023.11.24_23.03.06	-46.47581	-23.61171	VIVO	4G	-80	41	839	
2023.11.24_23.03.07	-46.47590	-23.61177	VIVO	4G	-76	43	839	
2023.11.24_23.03.08	-46.47600	-23.61181	VIVO	4G	-76	43	838	
2023.11.24_23.03.09	-46.47611	-23.61186	VIVO	4G	-80	45	837	
2023.11.24_23.03.11	-46.47622	-23.61189	VIVO	4G	-80	41	837	
2023.11.24_23.03.11	-46.47622	-23.61189	VIVO	4G	-87	41	837	
2023.11.24_23.03.11	-46.47633	-23.61192	VIVO	4G	-87	41	837	
2023.11.24_23.03.12	-46.47644	-23.61194	VIVO	4G	-87	38	837	
2023.11.24_23.03.14	-46.47654	-23.61197	VIVO	4G	-87	37	837	
2023.11.24_23.03.15	-46.47672	-23.61201	VIVO	4G	-340	32	838	
2023.11.24_23.03.17	-46.47672	-23.61201	VIVO	4G	-340	32	838	
2023.11.24_23.03.18	-46.47689	-23.61205	VIVO	4G	-340	29	838	
2023.11.24_23.03.20	-46.47703	-23.61210	VIVO	4G	-88	27	838	
2023.11.24_23.03.21	-46.47717	-23.61215	VIVO	4G	-89	29	838	
2023.11.24_23.03.23	-46.47732	-23.61225	VIVO	4G	-89	31	837	
2023.11.24_23.03.25	-46.47742	-23.61230	VIVO	4G	-89	24	837	
2023.11.24_23.03.29	-46.47754	-23.61234	VIVO	4G	-90	17	835	
2023.11.24_23.03.31	-46.47765	-23.61235	VIVO	4G	-86	18	835	
2023.11.24_23.03.33	-46.47776	-23.61231	VIVO	4G	-90	21	835	
2023.11.24_23.03.34	-46.47776	-23.61231	VIVO	4G	-92	21	835	
2023.11.24_23.03.35	-46.47785	-23.61225	VIVO	4G	-92	19	835	
2023.11.24_23.03.36	-46.47785	-23.61225	VIVO	4G	-96	19	835	
2023.11.24_23.03.37	-46.47785	-23.61225	VIVO	4G	-92	19	835	
2023.11.24_23.03.37	-46.47796	-23.61218	VIVO	4G	-92	25	835	
2023.11.24_23.03.38	-46.47787	-23.61206	VIVO	4G	-91	22	834	
2023.11.24_23.03.39	-46.47786	-23.61195	VIVO	4G	-91	22	834	
2023.11.24_23.03.40	-46.47749	-23.61215	VIVO	4G	-91	13	834	
2023.11.24_23.03.42	-46.47738	-23.61212	VIVO	4G	-91	16	833	
2023.11.24_23.03.45	-46.47728	-23.61208	VIVO	4G	-92	12	833	
2023.11.24_23.03.49	-46.47739	-23.61209	VIVO	4G	-91	11	833	
2023.11.24_23.03.50	-46.47743	-23.61199	VIVO	4G	-92	5	819	
2023.11.24_23.04.04	-46.47739	-23.61208	VIVO	4G	-96	0	824	
2023.11.24_23.04.07	-46.47739	-23.61208	VIVO	4G	-86	0	824	
2023.11.24_23.04.08	-46.47752	-23.61215	VIVO	4G	-86	10	830	
2023.11.24_23.04.12	-46.47760	-23.61223	VIVO	4G	-83	12	827	
2023.11.24_23.04.13	-46.47772	-23.61224	VIVO	4G	-90	19	829	
2023.11.24_23.04.16	-46.47786	-23.61232	VIVO	4G	-93	25	833	
2023.11.24_23.04.17	-46.47797	-23.61233	VIVO	4G	-93	27	836	
2023.11.24_23.04.18	-46.47806	-23.61235	VIVO	4G	-90	32	837	
2023.11.24_23.04.18	-46.47818	-23.61236	VIVO	4G	-90	32	841	
2023.11.24_23.04.19	-46.47829	-23.61238	VIVO	4G	-87	37	842	
2023.11.24_23.04.20	-46.47842	-23.61241	VIVO	4G	-87	38	843	
2023.11.24_23.04.21	-46.47853	-23.61245	VIVO	4G	-89	36	842	
2023.11.24_23.04.22	-46.47863	-23.61248	VIVO	4G	-89	35	842	
2023.11.24_23.04.23	-46.47863	-23.61248	VIVO	4G	-91	35	842	
2023.11.24_23.04.23	-46.47873	-23.61250	VIVO	4G	-91	37	842	
2023.11.24_23.04.24	-46.47884	-23.61253	VIVO	4G	-91	38	842	
2023.11.24_23.04.25	-46.47894	-23.61255	VIVO	4G	-90	36	842	
2023.11.24_23.04.26	-46.47894	-23.61255	VIVO	4G	-82	36	842	
2023.11.24_23.04.26	-46.47905	-23.61257	VIVO	4G	-82	37	841	
2023.11.24_23.04.27	-46.47915	-23.61259	VIVO	4G	-82	37	842	
2023.11.24_23.04.28	-46.47925	-23.61260	VIVO	4G	-86	36	841	
2023.11.24_23.04.29	-46.47935	-23.61262	VIVO	4G	-86	38	841	
2023.11.24_23.04.30	-46.47945	-23.61263	VIVO	4G	-79	38	841	
2023.11.24_23.04.31	-46.47955	-23.61264	VIVO	4G	-79	38	841	
2023.11.24_23.04.32	-46.47965	-23.61265	VIVO	4G	-83	36	841	
2023.11.24_23.04.33	-46.47976	-23.61265	VIVO	4G	-83	36	841	
2023.11.24_23.04.34	-46.47987	-23.61265	VIVO	4G	-86	38	841	
2023.11.24_23.04.35	-46.47999	-23.61263	VIVO	4G	-86	38	841	
2023.11.24_23.04.36	-46.48011	-23.61263	VIVO	4G	-83	41	841	
2023.11.24_23.04.37	-46.48022	-23.61263	VIVO	4G	-83	38	841	
2023.11.24_23.04.38	-46.48033	-23.61262	VIVO	4G	-80	38	840	
2023.11.24_23.04.39	-46.48044	-23.61260	VIVO	4G	-80	35	840	
2023.11.24_23.04.41	-46.48063	-23.61257	VIVO	4G	-79	35	839	
2023.11.24_23.04.42	-46.48072	-23.61254	VIVO	4G	-82	37	838	
2023.11.24_23.04.45	-46.48091	-23.61250	VIVO	4G	-95	34	836	
2023.11.24_23.04.45	-46.48102	-23.61249	VIVO	4G	-95	36	835	
2023.11.24_23.04.46	-46.48102	-23.61249	VIVO	4G	-89	36	835	
2023.11.24_23.04.47	-46.48119	-23.61248	VIVO	4G	-89	37	835	
2023.11.24_23.04.48	-46.48129	-23.61247	VIVO	4G	-90	36	835	
2023.11.24_23.04.49	-46.48139	-23.61246	VIVO	4G	-90	35	834	
2023.11.24_23.04.51	-46.48159	-23.61244	VIVO	4G	-90	35	833	
2023.11.24_23.04.52	-46.48169	-23.61244	VIVO	4G	-90	36	832	
2023.11.24_23.04.53	-46.48179	-23.61244	VIVO	4G	-94	37	831	
2023.11.24_23.04.54	-46.48189	-23.61242	VIVO	4G	-94	37	831	
2023.11.24_23.04.55	-46.48200	-23.61241	VIVO	4G	-93	37	830	
2023.11.24_23.04.56	-46.48211	-23.61242	VIVO	4G	-93	38	829	
2023.11.24_23.04.57	-46.48221	-23.61242	VIVO	4G	-94	39	828	
2023.11.24_23.04.58	-46.48233	-23.61243	VIVO	4G	-94	37	829	
2023.11.24_23.04.59	-46.48244	-23.61243	VIVO	4G	-91	39	830	
2023.11.24_23.05.01	-46.48263	-23.61241	VIVO	4G	-91	37	832	
2023.11.24_23.05.02	-46.48273	-23.61237	VIVO	4G	-91	35	832	
