Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	EventType	EventDetails	State
2023.11.24_23.19.43	-46.544507	-23.588812	TIM	70555	2	31143	5G	-86	-11	12.0	-	-	IRAT_HANDOVER_DATA_4G5G	724-03-31143-70555-2-3150-129:724-03-31143-70555-2-634080-129	I
2023.11.24_23.19.51	-46.544788	-23.588602	TIM	69924	2	31143	5G	-86	-11	10.0	-	-	HANDOVER_DATA_5G5G	724-03-31143-70555-2-634080-129:724-99-31143-69924-2-3150-408	D
2023.11.24_23.19.55	-46.545165	-23.588015	TIM	69924	2	31143	5G	-87	-11	12.0	-	-	CELL_RESELECTION_5G5G	724-99-31143-69924-2-3150-408:724-03-31143-69924-2-634080-408	I
2023.11.24_23.20.01	-46.546122	-23.587161	TIM	70555	2	31143	4G	-101	-16	-5.0	-	-63	IRAT_CELL_RESELECTION_5G4G	724-03-31143-69924-2-634080-408:724-03-31143-70555-2-3150-129	I
2023.11.24_23.20.07	-46.547032	-23.586412	TIM	70555	3	31143	4G	-94	-15	-5.0	-	-59	CELL_RESELECTION_4G4G	724-03-31143-70555-2-3150-129:724-03-31143-70555-3-3150-137	I
2023.11.24_23.20.11	-46.547738	-23.585784	TIM	70555	10	31143	4G	-79	-8	-5.0	-	-51	CELL_RESELECTION_4G4G	724-03-31143-70555-3-3150-137:724-03-31143-70555-10-1276-129	I
2023.11.24_23.20.13	-46.548073	-23.585498	TIM	69924	9	31143	4G	-72	-15	-2.0	-	-51	CELL_RESELECTION_4G4G	724-03-31143-70555-10-1276-129:724-99-31143-69924-9-1276-424	I
2023.11.24_23.20.21	-46.54942	-23.584461	TIM	69924	9	31143	5G	-108	-15	-2.0	-	-	IRAT_HANDOVER_DATA_4G5G	724-99-31143-69924-9-1276-424:724-03-31143-69924-9-634080-424	I
2023.11.24_23.20.25	-46.550168	-23.584037	TIM	69924	9	31143	5G	-108	-13	0.0	-	-	HANDOVER_DATA_5G5G	724-03-31143-69924-9-634080-424:724-99-31143-69924-9-1276-424	I
2023.11.24_23.20.27	-46.550552	-23.583833	TIM	69924	9	31143	5G	-98	-14	10.0	-	-	HANDOVER_DATA_5G5G	724-99-31143-69924-9-1276-424:724-03-31143-69924-9-634080-424	I
2023.11.24_23.20.39	-46.553177	-23.58285	TIM	69924	9	31143	4G	-100	-16	1.0	-	-59	IRAT_HANDOVER_DATA_5G4G	724-03-31143-69924-9-634080-424:724-99-31143-69924-9-1276-424	I
2023.11.24_23.20.41	-46.553611	-23.582728	TIM	69649	2	31143	5G	-111	-17	-1.0	-	-	IRAT_HANDOVER_DATA_4G5G	724-99-31143-69924-9-1276-424:724-03-31143-69649-2-3150-398	I
2023.11.24_23.20.43	-46.554037	-23.582651	TIM	69649	2	31143	5G	-96	-16	11.0	-	-	HANDOVER_DATA_5G5G	724-03-31143-69649-2-3150-398:724-03-31143-69649-2-634080-398	D
2023.11.24_23.20.50	-46.555517	-23.582341	TIM			31143	5G	-113	-20	-1.0	-	-	HANDOVER_DATA_5G5G	724-03-31143-69649-2-634080-398:724-03-31143---1575-403	D
2023.11.24_23.20.52	-46.556018	-23.582255	TIM	70555	15	31143	4G	-98	-19	-5.0	-	-61	IRAT_CELL_RESELECTION_5G4G	724-03-31143---1575-403:724-03-31143-70555-15-9410-137	I
2023.11.24_23.20.56	-46.556875	-23.582081	TIM	66493	130	31143	4G	-97	-15	-5.0	-	-67	HANDOVER_DATA_4G4G	724-03-31143-70555-15-9410-137:724-03-31143-66493-130-1700-98	D
2023.11.24_23.21.00	-46.557684	-23.581942	TIM	66493	130	31143	5G	-100	-20	1.0	-	-	IRAT_HANDOVER_DATA_4G5G	724-03-31143-66493-130-1700-98:724-03-31143-66493-130-634080-98	I
2023.11.24_23.21.18	-46.56032	-23.581783	TIM	66493	129	31143	4G	-90	-11	8.0	-	-61	IRAT_CELL_RESELECTION_5G4G	724-03-31143-66493-130-634080-98:724-03-31143-66493-129-1700-114	I
2023.11.24_23.21.22	-46.56079	-23.581896	TIM	65948	9	31143	4G	-98	-15	-1.0	-	-63	CELL_RESELECTION_4G4G	724-03-31143-66493-129-1700-114:724-03-31143-65948-9-1276-175	I
2023.11.24_23.21.38	-46.561586	-23.5821	TIM	65948	9	31143	5G	-90	-12	11.0	-	-	IRAT_HANDOVER_DATA_4G5G	724-03-31143-65948-9-1276-175:724-03-31143-65948-9-634080-175	D
2023.11.24_23.21.56	-46.56168	-23.582126	TIM	65948	9	31143	4G	-78	-10	10.0	-	-51	IRAT_CELL_RESELECTION_5G4G	724-03-31143-65948-9-634080-175:724-03-31143-65948-9-1276-175	I
2023.11.24_23.22.20	-46.561656	-23.58201	TIM	65948	9	31143	5G	-91	-12	8.0	-	-	IRAT_CELL_RESELECTION_4G5G	724-03-31143-65948-9-1276-175:724-03-31143-65948-9-634080-175	I
2023.11.24_23.22.24	-46.561763	-23.582085	TIM	65948	9	31143	4G	-82	-11	12.0	-	-51	IRAT_CELL_RESELECTION_5G4G	724-03-31143-65948-9-634080-175:724-03-31143-65948-9-1276-175	I
2023.11.24_23.22.32	-46.563289	-23.58238	TIM	65948	9	31143	5G	-85	-12	10.0	-	-	IRAT_HANDOVER_DATA_4G5G	724-03-31143-65948-9-1276-175:724-03-31143-65948-9-634080-175	D
2023.11.24_23.22.50	-46.567199	-23.582786	TIM	65948	10	31143	4G	-80	-7	15.0	-	-53	IRAT_CELL_RESELECTION_5G4G	724-03-31143-65948-9-634080-175:724-03-31143-65948-10-1276-183	I
2023.11.24_23.23.06	-46.570508	-23.582857	TIM	69650	3	31143	4G	-96	-8	15.0	-	-67	CELL_RESELECTION_4G4G	724-03-31143-65948-10-1276-183:724-99-31143-69650-3-3150-187	I
2023.11.24_23.23.16	-46.572657	-23.582846	TIM	69650	3	31143	5G	-100	-12	4.0	-	-	IRAT_CELL_RESELECTION_4G5G	724-99-31143-69650-3-3150-187:724-03-31143-69650-3-634080-187	I
2023.11.24_23.23.20	-46.573538	-23.58294	TIM	69650	3	31143	4G	-102	-12	10.0	-	-69	IRAT_CELL_RESELECTION_5G4G	724-03-31143-69650-3-634080-187:724-99-31143-69650-3-3150-187	I
2023.11.24_23.23.25	-46.574569	-23.58319	TIM	72542	213	31143	4G	-74	-15	10.0	-	-51	CELL_RESELECTION_4G4G	724-99-31143-69650-3-3150-187:724-03-31143-72542-213-1276-374	I
2023.11.24_23.23.30	-46.575597	-23.583629	TIM	66801	129	31143	5G	-89	-12	6.0	-	-	IRAT_CELL_RESELECTION_4G5G	724-03-31143-72542-213-1276-374:724-03-31143-66801-129-1700-389	I
2023.11.24_23.23.32	-46.576028	-23.583796	TIM	66801	129	31143	5G	-89	-12	6.0	-	-	HANDOVER_DATA_5G5G	724-03-31143-66801-129-1700-389:724-03-31143-66801-129-634080-389	D
2023.11.24_23.23.42	-46.578071	-23.584401	TIM	72544	221	31143	4G	-95	-19	-5.0	-	-55	IRAT_CELL_RESELECTION_5G4G	724-03-31143-66801-129-634080-389:724-03-31143-72544-221-1276-353	I
2023.11.24_23.23.44	-46.578482	-23.584507	TIM	71918	216	31143	4G	-84	-16	-5.0	-	-51	CELL_RESELECTION_4G4G	724-03-31143-72544-221-1276-353:724-03-31143-71918-216-1276-123	I
2023.11.24_23.23.48	-46.579129	-23.58454	TIM	71918	197	31143	4G	-72	-10	-5.0	-	-51	CELL_RESELECTION_4G4G	724-03-31143-71918-216-1276-123:724-03-31143-71918-197-75-131	I
2023.11.24_23.23.57	-46.580248	-23.584703	TIM	72544	201	31143	5G	-83	-14	9.0	-	-	IRAT_HANDOVER_DATA_4G5G	724-03-31143-71918-197-75-131:724-03-31143-72544-201-634080-131	I
2023.11.24_23.24.07	-46.581055	-23.5848	TIM	72544	201	31143	4G	-213	-	0.0	-	-63	IRAT_HANDOVER_DATA_5G4G	724-03-31143-72544-201-634080-131:724-03-31143-72544-201-75-139	I
2023.11.24_23.24.09	-46.581166	-23.584811	TIM	66801	21	31143	4G	-106	-20	-2.0	-	-67	HANDOVER_DATA_4G4G	724-03-31143-72544-201-75-139:724-03-31143-66801-21-75-389	I
2023.11.24_23.24.11	-46.581166	-23.584811	TIM	71918	218	31143	4G	-88	-10	-2.0	-	-57	HANDOVER_DATA_4G4G	724-03-31143-66801-21-75-389:724-03-31143-71918-218-1276-139	I
2023.11.24_23.24.15	-46.58145	-23.584843	TIM	71918	218	31143	5G	-97	-17	-2.0	-	-	IRAT_HANDOVER_DATA_4G5G	724-03-31143-71918-218-1276-139:724-03-31143-71918-218-634080-139	I
2023.11.24_23.24.31	-46.582516	-23.584951	TIM	73576	62	31143	4G	-78	-10	9.0	-	-51	IRAT_CELL_RESELECTION_5G4G	724-03-31143-71918-218-634080-139:724-03-31143-73576-62-1700-285	I
2023.11.24_23.24.36	-46.582805	-23.584885	TIM	71512	2	31143	5G	-89	-12	9.0	-	-	IRAT_HANDOVER_DATA_4G5G	724-03-31143-73576-62-1700-285:724-03-31143-71512-2-3150-109	D
2023.11.24_23.24.40	-46.58303	-23.584827	TIM	71512	2	31143	5G	-92	-12	6.0	-	-	CELL_RESELECTION_5G5G	724-03-31143-71512-2-3150-109:724-03-31143-71512-2-634080-109	I
