Timestamp	Longitude	Latitude	Operatorname	NetworkTech	Level	Speed	Altitude	Filemark
2023.10.15_15.33.06	-46.47324	-23.60940	TIM	5G	-87	70	832	
2023.10.15_15.33.07	-46.47337	-23.60950	TIM	5G	-86	67	832	
2023.10.15_15.33.08	-46.47353	-23.60960	TIM	5G	-86	71	832	
2023.10.15_15.33.08	-46.47353	-23.60960	TIM	5G	-86	71	832	
2023.10.15_15.33.09	-46.47369	-23.60970	TIM	5G	-86	70	832	
2023.10.15_15.33.10	-46.47384	-23.60980	TIM	5G	-85	68	833	
2023.10.15_15.33.11	-46.47401	-23.60989	TIM	5G	-85	71	833	
2023.10.15_15.33.12	-46.47419	-23.60998	TIM	5G	-85	73	834	
2023.10.15_15.33.13	-46.47435	-23.61009	TIM	5G	-84	72	835	
2023.10.15_15.33.14	-46.47448	-23.61018	TIM	5G	-84	65	835	
2023.10.15_15.33.15	-46.47461	-23.61028	TIM	5G	-84	63	835	
2023.10.15_15.33.16	-46.47473	-23.61038	TIM	5G	-89	62	835	
2023.10.15_15.33.17	-46.47485	-23.61049	TIM	5G	-89	62	836	
2023.10.15_15.33.18	-46.47493	-23.61058	TIM	5G	-89	58	835	
2023.10.15_15.33.19	-46.47501	-23.61068	TIM	5G	-92	55	834	
2023.10.15_15.33.20	-46.47510	-23.61077	TIM	5G	-92	53	832	
2023.10.15_15.33.21	-46.47516	-23.61085	TIM	5G	-92	49	833	
2023.10.15_15.33.22	-46.47520	-23.61095	TIM	5G	-98	47	831	
2023.10.15_15.33.24	-46.47530	-23.61112	TIM	5G	-98	41	829	
2023.10.15_15.33.24	-46.47530	-23.61112	TIM	5G	-98	41	829	
2023.10.15_15.33.25	-46.47536	-23.61122	TIM	5G	-98	41	829	
2023.10.15_15.33.26	-46.47543	-23.61129	TIM	5G	-98	41	830	
2023.10.15_15.33.27	-46.47552	-23.61138	TIM	4G	-98	43	830	
2023.10.15_15.33.28	-46.47561	-23.61145	TIM	4G	-108	43	829	
2023.10.15_15.33.29	-46.47571	-23.61154	TIM	4G	-99	43	829	
2023.10.15_15.33.30	-46.47581	-23.61160	TIM	4G	-108	44	830	
2023.10.15_15.33.30	-46.47581	-23.61160	TIM	4G	-100	44	830	
2023.10.15_15.33.31	-46.47592	-23.61168	TIM	4G	-100	45	828	
2023.10.15_15.33.32	-46.47604	-23.61173	TIM	4G	-100	47	829	
2023.10.15_15.33.33	-46.47615	-23.61182	TIM	4G	-97	50	830	
2023.10.15_15.33.34	-46.47628	-23.61188	TIM	4G	-93	45	831	
2023.10.15_15.33.35	-46.47638	-23.61196	TIM	4G	-93	47	832	
2023.10.15_15.33.37	-46.47656	-23.61198	TIM	4G	-100	34	831	
2023.10.15_15.33.38	-46.47666	-23.61201	TIM	4G	-100	33	831	
