Timestamp	Longitude	Latitude	Operatorname	NetworkTech	Level	Speed	Altitude	Filemark
2023.11.24_22.45.12	-46.55505	-23.58322	VIVO	4G	-106	0	623	
2023.11.24_22.45.17	-46.55505	-23.58322	VIVO	4G	-99	0	623	
2023.11.24_22.45.19	-46.55505	-23.58322	VIVO	4G	-109	0	623	
2023.11.24_22.45.20	-46.55505	-23.58322	VIVO	4G	-340	0	623	
2023.11.24_22.45.24	-46.55505	-23.58322	VIVO	4G	-340	0	623	
2023.11.24_22.45.40	-46.55505	-23.58322	VIVO	4G	-100	0	623	
2023.11.24_22.46.00	-46.55505	-23.58322	VIVO	4G	-107	0	623	
2023.11.24_22.46.10	-46.55505	-23.58322	VIVO	4G	-106	0	623	
2023.11.24_22.46.20	-46.55505	-23.58322	VIVO	4G	-100	0	623	
2023.11.24_22.46.39	-46.55505	-23.58322	VIVO	4G	-104	0	623	
2023.11.24_22.46.49	-46.55505	-23.58322	VIVO	4G	-95	0	623	
2023.11.24_22.47.10	-46.55505	-23.58322	VIVO	4G	-83	0	623	
2023.11.24_22.47.20	-46.55505	-23.58322	VIVO	4G	-340	0	623	
2023.11.24_22.47.31	-46.55505	-23.58322	VIVO	4G	-95	0	623	
2023.11.24_22.47.41	-46.55505	-23.58322	VIVO	4G	-92	0	623	
2023.11.24_22.47.51	-46.55505	-23.58322	VIVO	4G	-340	0	623	
2023.11.24_22.47.53	-46.55505	-23.58322	VIVO	4G	-340	0	623	
2023.11.24_22.47.54	-46.55505	-23.58322	VIVO	4G	-97	0	623	
2023.11.24_22.47.55	-46.55505	-23.58322	VIVO	4G	-101	0	623	
2023.11.24_22.47.57	-46.55505	-23.58322	VIVO	4G	-100	0	623	
2023.11.24_22.47.59	-46.55505	-23.58322	VIVO	4G	-90	0	623	
2023.11.24_22.48.02	-46.55505	-23.58322	VIVO	4G	-101	0	623	
2023.11.24_22.48.39	-46.49964	-23.61697	VIVO	4G	-97	0	635	
2023.11.24_22.49.01	-46.49964	-23.61697	VIVO	4G	-340	0	635	
2023.11.24_22.49.16	-46.49964	-23.61697	VIVO	4G	-103	0	635	
2023.11.24_22.49.20	-46.49964	-23.61697	VIVO	4G	-85	0	635	
2023.11.24_22.49.29	-46.49266	-23.61346	VIVO	4G	-104	0	633	
2023.11.24_22.49.32	-46.49226	-23.61312	VIVO	4G	-97	0	638	
2023.11.24_22.49.33	-46.49210	-23.61313	VIVO	4G	-97	0	637	
2023.11.24_22.49.33	-46.49210	-23.61313	VIVO	4G	-89	0	637	
2023.11.24_22.49.34	-46.49192	-23.61313	VIVO	4G	-89	0	635	
2023.11.24_22.49.35	-46.49179	-23.61312	VIVO	4G	-89	0	634	
2023.11.24_22.49.36	-46.49151	-23.61319	VIVO	4G	-340	0	610	
2023.11.24_22.49.37	-46.49119	-23.61318	VIVO	4G	-340	0	624	
2023.11.24_22.49.38	-46.49085	-23.61317	VIVO	4G	-95	0	631	
2023.11.24_22.49.39	-46.49040	-23.61305	VIVO	4G	-95	0	653	
2023.11.24_22.49.40	-46.49014	-23.61291	VIVO	4G	-96	0	678	
2023.11.24_22.49.40	-46.49014	-23.61291	VIVO	4G	-98	0	678	
2023.11.24_22.49.41	-46.48985	-23.61276	VIVO	4G	-98	0	710	
2023.11.24_22.49.42	-46.48969	-23.61264	VIVO	4G	-99	0	727	
2023.11.24_22.49.43	-46.48956	-23.61255	VIVO	4G	-99	0	738	
2023.11.24_22.49.43	-46.48956	-23.61255	VIVO	4G	-104	0	738	
2023.11.24_22.49.44	-46.48945	-23.61248	VIVO	4G	-104	0	747	
2023.11.24_22.49.45	-46.48934	-23.61242	VIVO	4G	-104	32	752	
2023.11.24_22.49.45	-46.48934	-23.61242	VIVO	4G	-340	32	752	
2023.11.24_22.49.46	-46.48923	-23.61236	VIVO	4G	-340	33	759	
2023.11.24_22.49.47	-46.48912	-23.61229	VIVO	4G	-101	34	767	
2023.11.24_22.49.48	-46.48897	-23.61218	VIVO	4G	-101	36	800	
2023.11.24_22.49.50	-46.48800	-23.61177	VIVO	4G	-98	37	801	
2023.11.24_22.49.50	-46.48800	-23.61177	VIVO	4G	-103	37	801	
2023.11.24_22.49.51	-46.48789	-23.61173	VIVO	4G	-103	39	802	
2023.11.24_22.49.52	-46.48769	-23.61165	VIVO	4G	-107	39	802	
2023.11.24_22.49.53	-46.48769	-23.61165	VIVO	4G	-95	39	802	
2023.11.24_22.49.55	-46.48739	-23.61151	VIVO	4G	-95	31	802	
2023.11.24_22.50.09	-46.48739	-23.61151	VIVO	4G	-94	0	802	
2023.11.24_22.50.11	-46.48739	-23.61151	VIVO	4G	-103	0	802	
2023.11.24_22.50.13	-46.48739	-23.61151	VIVO	4G	-94	0	802	
2023.11.24_22.50.26	-46.48767	-23.61188	VIVO	4G	-95	12	886	
2023.11.24_22.50.27	-46.48770	-23.61198	VIVO	4G	-95	14	888	
2023.11.24_22.50.37	-46.48781	-23.61164	VIVO	4G	-96	11	888	
2023.11.24_22.50.39	-46.48765	-23.61144	VIVO	4G	-92	14	897	
2023.11.24_22.50.40	-46.48746	-23.61144	VIVO	4G	-96	18	892	
2023.11.24_22.50.41	-46.48728	-23.61134	VIVO	4G	-96	23	887	
2023.11.24_22.50.41	-46.48728	-23.61134	VIVO	4G	-99	23	887	
2023.11.24_22.50.42	-46.48712	-23.61126	VIVO	4G	-99	27	882	
2023.11.24_22.50.43	-46.48696	-23.61117	VIVO	4G	-99	36	877	
2023.11.24_22.50.43	-46.48696	-23.61117	VIVO	4G	-95	36	877	
2023.11.24_22.50.44	-46.48680	-23.61108	VIVO	4G	-95	36	872	
2023.11.24_22.50.45	-46.48662	-23.61099	VIVO	4G	-95	34	866	
2023.11.24_22.50.46	-46.48649	-23.61089	VIVO	4G	-95	35	863	
2023.11.24_22.50.47	-46.48635	-23.61080	VIVO	4G	-93	36	861	
2023.11.24_22.50.48	-46.48624	-23.61071	VIVO	4G	-93	36	859	
2023.11.24_22.50.49	-46.48613	-23.61063	VIVO	4G	-93	37	856	
2023.11.24_22.50.50	-46.48603	-23.61053	VIVO	4G	-91	38	852	
2023.11.24_22.50.51	-46.48595	-23.61045	VIVO	4G	-91	39	848	
2023.11.24_22.50.52	-46.48587	-23.61035	VIVO	4G	-92	40	844	
2023.11.24_22.50.54	-46.48573	-23.61026	VIVO	4G	-91	38	841	
2023.11.24_22.50.56	-46.48556	-23.61018	VIVO	4G	-340	37	844	
2023.11.24_22.50.57	-46.48545	-23.61013	VIVO	4G	-340	37	845	
2023.11.24_22.50.59	-46.48531	-23.61007	VIVO	4G	-97	31	842	
